RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,LAT,LON,PRICE_PER_SQM,PRICE_PER_PYEONG
2026,11290,성북구,10300,돈암동,1,대지,15,1,돈암동삼성,2026-09-01,101500,84.59,0.0,11.0,,,1999,아파트,중개거래,서울 성북구,37.5994822164406,127.023373194038,1199.9,3966.6
2026,11260,중랑구,10100,면목동,1,대지,1501,0,두산6,2026-09-01,60000,59.55,0.0,7.0,,,1993,아파트,중개거래,서울 중랑구,37.5775605393485,127.080619776402,1007.6,3330.8
2026,11620,관악구,10100,봉천동,1,대지,7,312,동아타운21,2026-09-01,90000,125.42,0.0,5.0,,,2003,아파트,중개거래,"서울 관악구, 서울 동작구",37.4889292724364,126.957145812964,717.6,2372.2
2026,11530,구로구,10100,신도림동,1,대지,637,0,우성3,2026-09-01,83500,84.75,0.0,6.0,,,1993,아파트,직거래,,37.5130191866004,126.884347609326,985.3,3257.0
2026,11650,서초구,10800,서초동,1,대지,1487,63,서초1차e-편한세상,2026-09-01,270000,130.53,0.0,10.0,,,2004,아파트,중개거래,서울 서초구,37.4811480824098,127.006787516275,2068.5,6838.0
2026,11410,서대문구,11000,북아현동,1,대지,1013,0,e편한세상신촌2단지,2026-09-01,196500,59.85,0.0,13.0,,,2018,아파트,중개거래,"서울 마포구, 서울 영등포구",37.5582659643517,126.950153860719,3283.2,10853.6
2026,11350,노원구,10400,하계동,1,대지,167,10,아주,2026-09-01,41800,76.59,0.0,3.0,,,2002,아파트,중개거래,서울 노원구,37.6359554425313,127.074501433471,545.8,1804.2
2026,11710,송파구,10900,장지동,1,대지,854,0,송파파인타운11단지,2026-09-01,185000,84.94,0.0,13.0,,,2007,아파트,중개거래,"서울 강남구, 서울 송파구",37.4796433254146,127.133173446134,2178.0,7200.0
2026,11530,구로구,10200,구로동,1,대지,798,21,(798-21),2026-09-01,21000,40.68,0.0,3.0,,,1984,아파트,중개거래,서울 구로구,37.4851425240449,126.887526964716,516.2,1706.5
2026,11320,도봉구,10700,창동,1,대지,347,0,창동주공3단지(해등마을),2026-09-01,90500,66.56,0.0,10.0,,,1990,아파트,중개거래,서울 도봉구,37.6500631583751,127.04420113616,1359.7,4494.8
2026,11320,도봉구,10600,방학동,1,대지,717,2,방학지음재힐스,2026-09-01,11000,14.86,0.0,8.0,,,2018,아파트,중개거래,서울 도봉구,37.6672859117735,127.044821359728,740.2,2447.1
2026,11320,도봉구,10600,방학동,1,대지,734,0,청구아파트,2026-09-01,59000,84.97,0.0,6.0,,,1994,아파트,중개거래,서울 도봉구,37.6580488858301,127.026228957921,694.4,2295.4
2026,11530,구로구,10200,구로동,1,대지,685,124,중앙하이츠,2026-09-01,76000,79.97,0.0,8.0,,,1987,아파트,중개거래,서울 구로구,37.496778679083,126.876098477883,950.4,3141.7
2026,11560,영등포구,13200,신길동,1,대지,4958,0,보라매에스케이뷰,2026-09-01,204000,84.98,0.0,18.0,,,2020,아파트,중개거래,서울 영등포구,37.5029425844622,126.917366701934,2400.6,7935.8
2026,11380,은평구,10900,신사동,1,대지,360,0,신사성원,2026-09-01,56000,59.94,0.0,11.0,,,2000,아파트,중개거래,서울 은평구,37.6004445878031,126.913301309199,934.3,3088.5
2026,11380,은평구,10600,대조동,1,대지,88,0,힐스테이트 메디알레,2026-09-01,137819,74.9,0.0,2.0,분양권,,0,아파트,중개거래,서울 은평구,37.6120492662394,126.923358380629,1840.0,6082.8
2026,11380,은평구,10700,응암동,1,대지,742,3,남청파인힐,2026-09-01,43000,55.14,0.0,2.0,,,2001,아파트,중개거래,서울 서대문구,37.5840304729144,126.91600494024,779.8,2578.0
2026,11260,중랑구,10600,신내동,1,대지,656,0,화성.두산아파트,2026-09-01,74000,66.96,0.0,6.0,,,1995,아파트,중개거래,서울 중랑구,37.6136323565234,127.095137479055,1105.1,3653.3
2026,11380,은평구,10900,신사동,1,대지,360,0,신사성원,2026-09-01,71000,84.96,0.0,13.0,,,2000,아파트,중개거래,서울 은평구,37.6004445878031,126.913301309199,835.7,2762.6
2026,11530,구로구,11200,항동,1,대지,236,0,항동중흥에스클래스베르데카운티,2026-08-31,94500,84.99,0.0,17.0,,,2019,아파트,중개거래,서울 구로구,37.4810367866964,126.820790760052,1111.9,3675.7
2026,11320,도봉구,10600,방학동,1,대지,271,1,신동아아파트1,2026-08-31,49700,70.62,0.0,9.0,,,1986,아파트,중개거래,서울 도봉구,37.6609347988243,127.0267260331,703.8,2326.5
2026,11305,강북구,10200,번동,1,대지,418,3,효성네오인텔리안,2026-08-31,64500,81.12,0.0,15.0,,,2005,아파트,중개거래,서울 강북구,37.6386747667765,127.027039148071,795.1,2628.5
2026,11620,관악구,10200,신림동,1,대지,1706,0,금호2,2026-08-31,63300,59.96,0.0,14.0,,,1998,아파트,중개거래,서울 관악구,37.4682499779039,126.944282502442,1055.7,3489.9
2026,11500,강서구,10500,마곡동,1,대지,1467,0,마곡우림필유아파트,2026-08-31,108500,84.528,0.0,5.0,,,2003,아파트,중개거래,서울 강서구,37.5717925752818,126.821349834096,1283.6,4243.3
2026,11710,송파구,11200,오금동,1,대지,166,0,상아1차아파트,2026-08-31,170000,60.7,0.0,7.0,,,1984,아파트,중개거래,"서울 강동구, 서울 송파구",37.4985544476068,127.135337701813,2800.7,9258.4
2026,11710,송파구,10800,문정동,1,대지,104,0,현대,2026-08-31,105000,71.52,0.0,8.0,,,1991,아파트,중개거래,서울 송파구,37.4857688614506,127.1303164596,1468.1,4853.3
2026,11560,영등포구,10600,영등포동5가,1,대지,32,8,리버센트 푸르지오 위브,2026-08-31,166628,76.74,0.0,22.0,분양권,,0,아파트,중개거래,서울 서초구,37.5215880879594,126.908145917735,2171.3,7178.0
2026,11305,강북구,10300,수유동,1,대지,732,0,형인휴아름,2026-08-31,44000,62.99,0.0,2.0,,,2013,아파트,중개거래,서울 강북구,37.6384529594017,127.022219095506,698.5,2309.2
