SIDO_NM,SGG_NM,ADMI_NM,FULL_NM,ADMI_CD,TT,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,19,157.2595890410959,1210.4698630136986,2007.3466575342466,3209.8008493150687,2676.850904109589,2655.9480547945204,3039.0667397260277,2314.4809863013697,212.23205479452054,1139.4379452054793,2337.915506849315,3103.693095890411,2599.330191780822,3125.202876712329,3430.4690958904107,3118.895287671233
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,20,148.24928767123288,1135.3058630136986,1937.6840273972605,3092.5211232876713,2490.3881643835616,2498.4460821917805,3006.936739726027,2300.25901369863,203.78364383561643,1072.3419452054795,2217.3632876712327,2971.935068493151,2456.004520547945,2972.3556164383563,3335.475698630137,3077.696493150685
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,21,140.59405479452056,1059.1731506849314,1876.6819452054795,3002.636712328767,2347.3220547945207,2393.2204657534244,2986.9645479452056,2286.9217534246573,195.0789589041096,1004.8061917808219,2083.839945205479,2839.447095890411,2312.8162465753426,2814.76,3244.695178082192,3043.04704109589
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,22,136.98709589041096,980.0447123287671,1839.9255616438354,2923.3841917808218,2250.2177808219176,2301.737698630137,2952.225232876712,2287.2495342465754,190.2492602739726,946.4907397260274,2000.1646849315068,2764.483315068493,2215.1703287671235,2688.5123835616437,3204.875479452055,3023.878082191781
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,23,135.2001095890411,945.6143013698629,1812.169671232877,2864.0314520547945,2185.448821917808,2238.789232876712,2918.70898630137,2280.5854246575345,188.4240821917808,932.284794520548,1961.739287671233,2734.3049315068492,2172.061397260274,2623.253342465753,3176.03602739726,3001.8681095890415
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,0,198.57093150684932,2423.426465753425,2599.092904109589,2667.585780821918,3479.6170410958903,3849.654356164384,2584.668712328767,2034.515315068493,349.12531506849314,2582.7828493150687,2843.1658356164385,2735.918273972603,3889.9372328767126,3891.378630136986,3050.59101369863,2854.2791780821917
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,1,198.84989041095892,2424.6058630136986,2586.6129041095887,2641.8172328767123,3470.5498904109586,3855.3095616438354,2577.5018630136988,2041.1478904109588,349.6075890410959,2585.8405205479453,2831.498273972603,2723.179589041096,3889.7070136986304,3879.6764931506846,3050.9734520547945,2856.691561643836
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,2,199.5058904109589,2431.1271780821917,2573.6478356164384,2625.3289315068496,3472.92101369863,3851.9316164383563,2588.114931506849,2058.660191780822,350.4928493150685,2590.236219178082,2830.136794520548,2716.663698630137,3891.5140273972606,3886.475369863014,3051.0373150684936,2862.6073150684933
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,3,199.44364383561643,2431.362794520548,2555.1676712328767,2598.04397260274,3475.022410958904,3868.37802739726,2603.586082191781,2060.030602739726,350.524602739726,2591.1668493150687,2819.623671232877,2705.6852602739727,3893.168301369863,3897.7282191780823,3050.1395342465753,2868.194273972603
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,4,199.627698630137,2432.8297808219177,2545.7046575342465,2598.8772328767122,3486.242904109589,3918.4275068493153,2628.1304931506847,2073.2219726027397,350.52446575342464,2594.4869589041095,2814.389150684932,2695.7657534246578,3901.335260273973,3916.516657534247,3063.49698630137,2876.801671232877
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,5,199.07539726027397,2431.9419726027395,2552.108,2599.2477534246577,3489.1619452054797,3953.098082191781,2705.153315068493,2078.2027671232877,349.70569863013696,2594.072602739726,2812.608109589041,2692.221835616438,3902.086739726027,3942.200876712329,3136.9811780821915,2884.4278082191777
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,6,197.50183561643834,2442.8450410958903,2593.4539726027397,2646.4001369863013,3548.5564109589045,3987.3695068493153,2756.84797260274,2103.628191780822,347.2089589041096,2611.0200821917806,2926.501232876712,2773.2642739726025,3927.511342465753,3983.670438356164,3184.074575342466,2898.1660547945207
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,7,198.62586301369865,2676.537095890411,2693.102712328767,2861.839890410959,3708.1242465753426,4159.589589041096,2869.521095890411,2133.4138356164385,349.5561917808219,2992.2224109589038,3048.1773424657536,2989.3744383561643,4111.856191780822,4136.748191780822,3269.2776164383563,2912.65901369863
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,8,203.29424657534244,3016.640575342466,2863.07002739726,3268.035424657534,3997.8847397260274,4272.780739726028,3022.9210684931504,2211.0186027397262,356.95994520547947,3585.423753424657,3340.4288493150684,3468.207232876712,4436.134328767123,4380.315863013699,3445.310630136986,3000.1999726027398
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,9,208.55589041095888,3084.4446575342467,2999.0080273972603,3588.186328767123,4150.727205479452,4352.38405479452,3116.782410958904,2285.020410958904,360.6778082191781,3667.104109589041,3656.570712328767,3859.3526575342466,4603.282821917808,4487.446876712328,3593.701917808219,3115.04701369863
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,10,216.21887671232878,3146.1867671232876,3089.8112328767124,3824.6839999999997,4321.674630136987,4398.7945479452055,3191.423205479452,2334.6255890410957,370.95112328767124,3708.1662739726025,3818.3012602739723,4120.773643835616,4799.732246575342,4641.237945205479,3672.1728493150686,3168.885808219178
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,11,221.36728767123287,3157.2954246575346,3145.479917808219,3961.114219178082,4417.883726027398,4444.318876712328,3208.0383561643835,2339.89695890411,374.53747945205475,3711.868410958904,3924.5216986301366,4298.1213972602745,4885.785753424658,4713.669917808219,3733.8688767123285,3188.9824109589044
서울특별시,강서구,발산1동,서울특별시 강서구 발산1동,11500611,12,226.7113698630137,3162.204273972603,3174.290301369863,4012.1009315068495,4449.664876712329,4460.454191780822,3205.6132602739726,2338.844109589041,376.63153424657537,3701.4727397260276,3979.4156438356163,4345.031726027398,4879.057095890411,4738.882438356165,3748.760575342466,3164.875698630137
